RoomID,Building,Capacity,Features
R1,Main Campus,43,Lab
R2,Main Campus,81,Projector
R3,Main Campus,63,Projector;Lab;Whiteboard
R4,Main Campus,42,Projector;Lab;Whiteboard
R5,Main Campus,71,Projector;Lab
R6,Main Campus,32,Lab;Whiteboard
R7,Main Campus,100,Projector;Lab
R8,Main Campus,57,Whiteboard
R9,Main Campus,57,Whiteboard
R10,Main Campus,64,Lab;Whiteboard
R11,Main Campus,52,Projector;Whiteboard
R12,Main Campus,46,Lab;Whiteboard
R13,Main Campus,83,Projector;Lab
R14,Main Campus,98,Whiteboard
R15,Main Campus,92,Projector
R16,Main Campus,36,Lab
R17,Main Campus,62,Projector;Lab
R18,Main Campus,97,Whiteboard
R19,Main Campus,69,Lab
R20,Main Campus,91,Whiteboard
R21,Main Campus,66,
R22,Main Campus,66,Projector;Lab
R23,Main Campus,92,Lab;Whiteboard
R24,Main Campus,69,Projector
R1,Main Campus,80,Projector;Lab;Whiteboard
R2,Main Campus,60,
R3,Main Campus,75,Projector;Lab
R4,Main Campus,63,Lab
R5,Main Campus,76,Projector
R6,Main Campus,47,Whiteboard
R7,Main Campus,71,Projector;Whiteboard
R8,Main Campus,83,Projector
R9,Main Campus,63,
R10,Main Campus,92,Projector;Lab
R11,Main Campus,41,
R12,Main Campus,61,Projector;Lab;Whiteboard
R13,Main Campus,30,Projector;Whiteboard
R14,Main Campus,58,Projector;Whiteboard
R15,Main Campus,78,Projector;Lab;Whiteboard
R16,Main Campus,74,Whiteboard
R17,Main Campus,52,Lab;Whiteboard
R18,Main Campus,80,Lab
R19,Main Campus,79,Lab;Whiteboard
R20,Main Campus,79,Whiteboard
R21,Main Campus,50,Projector;Lab;Whiteboard
R22,Main Campus,94,Projector;Whiteboard
R23,Main Campus,51,Lab;Whiteboard
R24,Main Campus,60,Lab;Whiteboard
R1,Main Campus,70,Projector
R2,Main Campus,39,Lab;Whiteboard
R3,Main Campus,95,
R4,Main Campus,59,Lab;Whiteboard
R5,Main Campus,67,
R6,Main Campus,82,Whiteboard
R7,Main Campus,30,Projector;Lab;Whiteboard
R8,Main Campus,37,Projector
R9,Main Campus,56,Lab;Whiteboard
R10,Main Campus,89,Whiteboard
R11,Main Campus,78,Projector;Lab
R12,Main Campus,94,Projector
R13,Main Campus,57,Lab
R14,Main Campus,42,
R15,Main Campus,70,Projector;Lab
R16,Main Campus,35,Lab
R17,Main Campus,98,Projector;Lab
R18,Main Campus,77,Lab
R19,Main Campus,57,
R20,Main Campus,47,Projector;Whiteboard
R21,Main Campus,35,Lab
R22,Main Campus,34,Lab
R23,Main Campus,96,
R24,Main Campus,84,Whiteboard
R1,Main Campus,42,Projector
R2,Main Campus,54,Projector;Whiteboard
R3,Main Campus,40,Whiteboard
R4,Main Campus,85,
R5,Main Campus,57,Projector;Lab
R6,Main Campus,71,Projector
R7,Main Campus,92,Projector;Whiteboard
R8,Main Campus,89,Lab;Whiteboard
R9,Main Campus,76,Projector
R10,Main Campus,51,Lab;Whiteboard
R11,Main Campus,53,Projector;Whiteboard
R12,Main Campus,92,Projector;Lab;Whiteboard
R13,Main Campus,43,Whiteboard
R14,Main Campus,52,Lab
R15,Main Campus,99,Lab
R16,Main Campus,55,Lab
R17,Main Campus,47,Lab;Whiteboard
R18,Main Campus,92,Projector;Whiteboard
