SlotID,Days,StartTime,Duration
SLOT1,Tuesday/Thursday,8:00,75
SLOT2,Monday/Wednesday/Friday,9:00,50
SLOT3,Monday/Wednesday/Friday,10:00,50
SLOT4,Monday/Wednesday/Friday,11:00,50
SLOT5,Tuesday/Thursday,12:00,75
SLOT6,Monday/Wednesday/Friday,13:00,50
SLOT7,Tuesday/Thursday,14:00,75
SLOT8,Tuesday/Thursday,15:00,75
SLOT9,Tuesday/Thursday,8:00,75
SLOT10,Monday/Wednesday/Friday,9:00,50
SLOT11,Tuesday/Thursday,10:00,75
SLOT12,Tuesday/Thursday,11:00,75
SLOT13,Tuesday/Thursday,12:00,75
SLOT14,Tuesday/Thursday,13:00,75
SLOT15,Monday/Wednesday/Friday,14:00,50
SLOT16,Tuesday/Thursday,15:00,75
SLOT17,Monday/Wednesday/Friday,8:00,50
SLOT18,Tuesday/Thursday,9:00,75
SLOT19,Monday/Wednesday/Friday,10:00,50
SLOT20,Tuesday/Thursday,11:00,75
SLOT21,Tuesday/Thursday,12:00,75
SLOT22,Tuesday/Thursday,13:00,75
SLOT23,Tuesday/Thursday,14:00,75
SLOT24,Tuesday/Thursday,15:00,75
SLOT25,Monday/Wednesday/Friday,8:00,50
SLOT26,Tuesday/Thursday,9:00,75
SLOT27,Monday/Wednesday/Friday,10:00,50
SLOT28,Monday/Wednesday/Friday,11:00,50
SLOT29,Monday/Wednesday/Friday,12:00,50
SLOT30,Tuesday/Thursday,13:00,75
SLOT31,Monday/Wednesday/Friday,14:00,50
SLOT32,Tuesday/Thursday,15:00,75
SLOT33,Monday/Wednesday/Friday,8:00,50
SLOT34,Tuesday/Thursday,9:00,75
SLOT35,Tuesday/Thursday,10:00,75
SLOT36,Monday/Wednesday/Friday,11:00,50
SLOT37,Monday/Wednesday/Friday,12:00,50
SLOT38,Monday/Wednesday/Friday,13:00,50
SLOT39,Tuesday/Thursday,14:00,75
SLOT40,Monday/Wednesday/Friday,15:00,50
SLOT1,Tuesday/Thursday,8:00,75
SLOT2,Tuesday/Thursday,9:00,75
SLOT3,Monday/Wednesday/Friday,10:00,50
SLOT4,Tuesday/Thursday,11:00,75
SLOT5,Tuesday/Thursday,12:00,75
SLOT6,Tuesday/Thursday,13:00,75
SLOT7,Tuesday/Thursday,14:00,75
SLOT8,Monday/Wednesday/Friday,15:00,50
SLOT9,Monday/Wednesday/Friday,8:00,50
SLOT10,Tuesday/Thursday,9:00,75
SLOT11,Monday/Wednesday/Friday,10:00,50
SLOT12,Tuesday/Thursday,11:00,75
SLOT13,Tuesday/Thursday,12:00,75
SLOT14,Tuesday/Thursday,13:00,75
SLOT15,Tuesday/Thursday,14:00,75
SLOT16,Tuesday/Thursday,15:00,75
SLOT17,Monday/Wednesday/Friday,8:00,50
SLOT18,Tuesday/Thursday,9:00,75
SLOT19,Tuesday/Thursday,10:00,75
SLOT20,Tuesday/Thursday,11:00,75
SLOT21,Monday/Wednesday/Friday,12:00,50
SLOT22,Monday/Wednesday/Friday,13:00,50
SLOT23,Tuesday/Thursday,14:00,75
SLOT24,Tuesday/Thursday,15:00,75
SLOT25,Monday/Wednesday/Friday,8:00,50
SLOT26,Tuesday/Thursday,9:00,75
SLOT27,Monday/Wednesday/Friday,10:00,50
SLOT28,Tuesday/Thursday,11:00,75
SLOT29,Tuesday/Thursday,12:00,75
SLOT30,Tuesday/Thursday,13:00,75
SLOT31,Monday/Wednesday/Friday,14:00,50
SLOT32,Tuesday/Thursday,15:00,75
SLOT33,Monday/Wednesday/Friday,8:00,50
SLOT34,Tuesday/Thursday,9:00,75
SLOT35,Monday/Wednesday/Friday,10:00,50
SLOT36,Monday/Wednesday/Friday,11:00,50
SLOT37,Monday/Wednesday/Friday,12:00,50
SLOT38,Monday/Wednesday/Friday,13:00,50
SLOT39,Monday/Wednesday/Friday,14:00,50
SLOT40,Monday/Wednesday/Friday,15:00,50
SLOT1,Monday/Wednesday/Friday,8:00,50
SLOT2,Monday/Wednesday/Friday,9:00,50
SLOT3,Monday/Wednesday/Friday,10:00,50
SLOT4,Tuesday/Thursday,11:00,75
SLOT5,Monday/Wednesday/Friday,12:00,50
SLOT6,Tuesday/Thursday,13:00,75
SLOT7,Monday/Wednesday/Friday,14:00,50
SLOT8,Monday/Wednesday/Friday,15:00,50
SLOT9,Monday/Wednesday/Friday,8:00,50
SLOT10,Tuesday/Thursday,9:00,75
SLOT11,Tuesday/Thursday,10:00,75
SLOT12,Tuesday/Thursday,11:00,75
SLOT13,Monday/Wednesday/Friday,12:00,50
SLOT14,Monday/Wednesday/Friday,13:00,50
SLOT15,Tuesday/Thursday,14:00,75
SLOT16,Tuesday/Thursday,15:00,75
